,Predict,Low,Up
2019-01-01,410.4001983225267,409.6126869769788,411.1877096680746
2019-02-01,411.0492169643442,410.1720530953297,411.92638083335873
2019-03-01,411.96226301913754,411.01754593888586,412.9069800993892
2019-04-01,413.41752688617726,412.41528079238424,414.4197729799703
2019-05-01,414.07360006345385,413.0192550039392,415.1279451229685
2019-06-01,413.3335693365791,412.2305666397594,414.4365720333988
2019-07-01,411.58472460024336,410.4355489361779,412.73390026430883
2019-08-01,409.53959915275686,408.3462217855207,410.73297651999303
2019-09-01,408.08788072355424,406.8519631096532,409.3237983374553
2019-10-01,408.3942307091153,407.1172250926853,409.67123632554524
2019-11-01,409.99924851257015,408.6824521729289,411.3160448522114
2019-12-01,411.43169583541686,410.05233597711356,412.81105569372016
2020-01-01,412.613743000941,411.1812442431636,414.0462417587184
2020-02-01,413.29590507567247,411.8149938540708,414.77681629727414
2020-03-01,414.22369383456515,412.6971241202294,415.75026354890093
2020-04-01,415.68510656707434,414.1147393787394,417.2554737554093
2020-05-01,416.343979184794,414.731238985895,417.95671938369304
2020-06-01,415.60577650038675,413.95185274460175,417.25970025617175
2020-07-01,413.8585178460992,412.16445767079495,415.5525780214034
2020-08-01,411.8147815995972,410.0815347310001,413.54802846819433
2020-09-01,410.3639737123591,408.59241588453153,412.13553154018666
2020-10-01,410.6702212641696,408.8611676901436,412.4792748381956
2020-11-01,412.27440921665186,410.4286232512592,414.12019518204454
2020-12-01,413.70610371546456,411.8048663644393,415.6073410664898
2021-01-01,414.8875249603504,412.9378941975368,416.83715572316396
2021-02-01,415.56932510981767,413.57481755776934,417.563832661866
2021-03-01,416.49661925169113,414.4592471025316,418.53399140085065
2021-04-01,417.9572515492632,415.8783509274182,420.03615217110826
2021-05-01,418.61577231286014,416.49635785062287,420.7351867750974
2021-06-01,417.8779642351399,415.71888561987026,420.0370428504096
2021-07-01,416.13163936461154,413.93365224244343,418.32962648677966
2021-08-01,414.08899531130845,411.85279443604736,416.32519618656954
2021-09-01,412.6389627444765,410.3651982528371,414.91272723611587
2021-10-01,412.9450466427874,410.6343326752649,415.25576061030995
2021-11-01,414.54837732148263,412.2012970932378,416.89545754972744
2021-12-01,415.9793067255977,413.57936334622457,418.3792501049709
2022-01-01,417.1600966209484,414.7132446919642,419.60694854993267
2022-02-01,417.84153241750226,415.35072955792754,420.332335277077
2022-03-01,418.7683310146782,416.23525188129616,421.30141014806026
2022-04-01,420.2281827522809,417.65392660653583,422.8024388980259
2022-05-01,420.8863516032522,418.2717475875507,423.5009556189537
2022-06-01,420.1489378092238,417.4946800235605,422.80319559488714
2022-07-01,418.403546172453,415.71025458556954,421.09683775933644
2022-08-01,416.3619937054936,413.6302422389729,419.0937451720143
2022-09-01,414.91273603419194,412.1430659715385,417.6824060968454
2022-10-01,415.2186563616636,412.41158313477683,418.02572958855035
2022-11-01,416.8211302225167,413.9771471691063,419.66511327592707
2022-12-01,418.2512949398078,415.3553681970449,421.14722168257066
2023-01-01,419.4314538225647,416.4888707251144,422.37403692001504
2023-02-01,420.1125254607097,417.1259097158391,423.09914120558034
2023-03-01,421.0388287779133,418.00965711049406,424.06800044533253
2023-04-01,422.4979003726343,419.4271352116854,425.5686655335832
2023-05-01,423.1557174990224,420.04408152191695,426.2673534761278
2023-06-01,422.4186977779724,419.26679566610267,425.57059988984213
2023-07-01,420.67423887623625,417.4826121444456,423.86586560802687
2023-08-01,418.63377741227634,415.4029295226894,421.86462530186327
2023-09-01,417.18529422240096,413.91570239841263,420.4548860463893
2023-10-01,417.49105106644504,414.18317211325746,420.7989300196326
2023-11-01,419.09266856733814,415.74694196680275,422.4383951678735
2023-12-01,420.5220690064529,417.1245278357987,423.91961017710713
2024-01-01,421.7015972138283,418.2570684385939,425.1461259890627
2024-02-01,422.38230488817015,418.8931841349215,425.8714256414188
2024-03-01,423.3081131900783,419.77574413627815,426.84048224387845
2024-04-01,424.766405058825,421.1916595065472,428.3411506111028
2024-05-01,425.423870648591,421.8074013633277,429.0403399338543
2024-06-01,424.6872447899273,421.0295978571552,428.34489172269946
2024-07-01,422.94371812477345,419.2453835305615,426.6420527189854
2024-08-01,420.90434708078254,417.16578179666215,424.64291236490294
2024-09-01,419.4566379584516,415.6782767047895,423.23499921211373
2024-10-01,419.76223140643344,415.94449186466187,423.579970948205
2024-11-01,421.3629930050043,417.5062785120458,425.21970749796276
2024-12-01,422.791629574372,418.88280301192214,426.70045613682186
2025-01-01,423.97052744339794,420.01407178166954,427.92698310512634
2025-02-01,424.6508713484385,420.6490130430988,428.6527296537782
2025-03-01,425.57618489958674,421.53017022400985,429.6221995751636
2025-04-01,427.0336974590437,422.9443327283446,431.1230621897428
2025-05-01,427.6908117000483,423.5586995899223,431.8229238101743
2025-06-01,426.95457949329136,422.7802242387099,431.12893474787285
2025-07-01,425.2119845665338,420.9958393242235,429.42812980884406
2025-08-01,423.17370335979274,418.91619177828557,427.4312149412999
2025-09-01,421.7267678913455,417.4282941099338,426.0252416727572
2025-10-01,422.03219803058374,417.6931514643716,426.37124459679586
2025-11-01,423.63210418422534,419.25286194752215,428.01134642092853
2025-12-01,425.05997729205694,420.62807647515916,429.4918781089547
2026-01-01,426.23824515958546,421.7578976916496,430.71859262752133
2026-02-01,426.91822548972254,422.391525224156,431.4449257552891
2026-03-01,427.84304455450507,423.27116220132314,432.414926907687
2026-04-01,429.2997782211342,424.68346984986664,433.91608659240177
2026-05-01,429.9565413011378,425.2963714494547,434.6167111528209
2026-06-01,429.2207025359205,424.5171436771609,433.9242613946801
2026-07-01,427.4790388496394,422.7325161865256,432.2255615127532
2026-08-01,425.4418468977407,420.652758734915,430.23093506056637
2026-09-01,423.99568466973756,419.164411819682,428.8269575197931
2026-10-01,424.3009515875042,419.42786183337813,429.17404134163024
2026-11-01,425.90000275336524,420.9854530744224,430.81455243230806
2026-12-01,427.32711280765363,422.35920548280853,432.29502013249873
2027-01-01,428.50475101035676,423.4874762518908,433.5220257688227
2027-02-01,429.1843679598843,424.1197115289035,434.2490243908651
2027-03-01,430.108692802554,424.9977643087088,435.2196212963992
2027-04-01,431.5646479925946,426.40816324478146,436.7211327404077
2027-05-01,432.2210600992571,427.01955327671664,437.42256692179757
2027-06-01,431.48561456532485,426.2395329324471,436.7316961982026
2027-07-01,429.74488162186645,424.45462819541393,435.035135048319
2027-08-01,427.70877834271363,422.37473127972606,433.0428254057012
2027-09-01,426.26338894193594,420.88591046488136,431.6408674189905
2027-10-01,426.5684927254563,421.14793332968645,431.9890521212261
2027-11-01,428.1666893604412,422.7033898870041,433.62998883387826
2027-12-01,429.59303676896116,424.0755844446083,435.110489093314
2028-01-01,430.7700456433309,425.20224422148084,436.33784706518094
2028-02-01,431.4492994064391,425.83304394681187,437.0655548660663
2028-03-01,432.3731302911076,426.7094794535974,438.0367811286178
2028-04-01,433.8283074205765,428.1179436890805,439.5386711520725
2028-05-01,434.4843687414577,428.72780130410104,440.2409361788143
2028-06-01,433.74931622866814,427.9469716485492,439.55166080878706
2028-07-01,432.00951353064477,426.16177660538006,437.8572504559095
2028-08-01,429.9744983424526,424.08173065917526,435.8672660257299
2028-09-01,428.52988135590243,422.59242981414,434.46733289766485
2028-10-01,428.83482209235524,422.85302290169625,434.81662128301423
2028-11-01,430.4321646531241,424.4063452836659,436.4579840225823
2028-12-01,431.85774982343264,425.7769210961816,437.9385785506837
2029-01-01,433.03412970578125,426.9019352172416,439.1663241943209
2029-02-01,433.7130204765564,427.53127747875436,439.8947634743584
2029-03-01,434.6363576671942,428.40608132324047,440.86663401114794
2029-04-01,436.090757151886,429.81260166406526,442.36891263970676
2029-05-01,436.7464678744453,430.42092131660894,443.0720144322816
2029-06-01,436.0118081727685,429.6392796520892,442.3843366934478
2029-07-01,434.27293522305814,427.8537941718167,440.6920762742996
2029-08-01,432.23900754435215,425.77360155521865,438.70441353348565
2029-09-01,430.79516255925233,424.2838255635387,437.30649955496597
2029-10-01,431.0999403357697,424.54299642408546,437.65688424745395
2029-11-01,432.6964292787388,426.09419455034896,439.2986640071286
2029-12-01,434.12125261817494,427.4631131365666,440.77939209978325
2030-01-01,435.29700384463496,428.5864633412674,442.0075443480025
2030-02-01,435.9755318170597,429.21433963395384,442.7367240001655
2030-03-01,436.89837557749627,430.0875090536823,443.7092421013102
2030-04-01,438.35199783298333,431.49208669396097,445.2119089720057
2030-05-01,439.00735814458,432.0988722559939,445.9158440331661
2030-06-01,438.2730910440982,431.3164244819013,445.22975760629504
2030-07-01,436.53514734584456,429.5306563070486,443.5396383846405
2030-08-01,434.5023065954611,427.45032660118943,441.5542865897328
2030-09-01,433.0592331992551,425.96008697235504,440.1583794261552
2030-10-01,433.36384810292265,426.2178492361587,440.5098469696866
2030-11-01,434.95948388426416,427.76693860420363,442.1520291643247
2030-12-01,436.38354579994933,429.13417636511144,443.6329152347872
2031-01-01,437.55866870647367,430.25585506814264,444.8614823448047
2031-02-01,438.236834074427,430.8822654789547,445.5914026698993
2031-03-01,439.15918466835086,431.753805076436,446.56456426026574
2031-04-01,440.6120301099835,433.15644772849487,448.0676124914721
2031-05-01,441.2670401978768,433.76170893020003,448.77237146555353
2031-06-01,440.5331654887844,432.9784662476335,448.0878647299353
2031-07-01,438.79615054539676,431.1924279318025,446.399873158991
2031-08-01,436.7643961424828,429.11197508617784,444.4168171987877
2031-09-01,435.3220939228345,427.6212872938192,443.0229005518498
2031-10-01,435.62654604069127,427.87765818395826,443.3754338974243
2031-11-01,437.22132911633366,429.4246575421423,445.018000690525
2031-12-01,438.6446300151718,430.79020100489316,446.49905902545044
2032-01-01,439.8191249375338,431.9102076985312,447.72804217653635
2032-02-01,440.49692789479104,432.5351578912592,448.4586978983229
2032-03-01,441.4187855857497,433.40507696926954,449.4324942022298
2032-04-01,442.87085462865616,434.80579644555115,450.93591281176117
2032-05-01,443.5255146800051,435.4095466520347,451.64148270797546
2032-06-01,442.79203215260867,434.6255235058542,450.95854079936316
2032-07-01,441.0559454677616,432.8392305018273,449.27266043369593
2032-08-01,439.02527683177436,430.7586710540909,447.29188260945784
2032-09-01,437.58374537656795,429.267552875795,445.8999378773409
2032-10-01,437.8880347956064,429.5225516579779,446.25351793323495
2032-11-01,439.4819656212345,431.0674815564852,447.89644968598384
2032-12-01,440.90450590991196,432.431324268823,449.3776875510009
2033-01-01,442.07837318370554,433.5496631920411,450.60708317536995
2033-02-01,442.7558139239385,434.1731624635971,451.33846538427986
2033-03-01,443.6771789753387,435.0414733125886,452.31288463808875
2033-04-01,445.1284720344255,436.44028397465274,453.81666009419826
2033-05-01,445.78278223628917,437.0425387620926,454.52302571048574
2033-06-01,445.04969168100735,436.2577515248308,453.8416318371839
2033-07-01,443.31453275864067,434.47122096367013,452.1578445536112
2033-08-01,441.2849493093478,432.390572904642,450.17932571405356
2033-09-01,439.8441882066878,430.8990433653497,448.7893330480259
2033-10-01,440.1483150138541,431.1526903632483,449.1439396644598
2033-11-01,441.7413940449092,432.6955722356432,450.7872158541752
2033-12-01,443.16317412989514,434.05771268134424,452.26863557844604
2034-01-01,444.3364140905349,435.174391271155,453.4984369099148
2034-02-01,445.01349280731193,435.7964512692027,454.2305343454212
2034-03-01,445.93436548241954,436.66316804272003,455.20556292211904
2034-04-01,447.3848829723715,438.06008578625017,456.7096801584928
2034-05-01,448.038843511709,438.6608620127691,457.4168250106489
2034-06-01,447.30614471907234,437.87532812814146,456.7369613100032
2034-07-01,445.571913063391,436.0885780268369,455.05524809994506
2034-08-01,443.54341422087003,434.0078600660614,453.07896837567864
2034-09-01,442.103423059081,432.5159387565078,451.69090736165424
2034-10-01,442.40738734127467,432.76825471876816,452.0465199637812
2034-11-01,443.99961503295475,434.30911029375306,453.69011977215644
2034-12-01,445.420635320501,435.6695504608193,455.17172018018266
2035-01-01,446.59324830322225,436.7845783020527,456.4019183043918
2035-02-01,447.2699651900082,437.40521216337703,457.1347182166393
2035-03-01,448.1903457519485,438.27035012738406,458.1103413765129
2035-04-01,449.64008808722866,439.6653917080722,459.6147844663851
2035-05-01,450.2936991508992,440.2647068993431,460.32269140245535
2035-06-01,449.5613919115503,439.4784443182623,459.6443395048383
2035-07-01,447.82808702702414,437.6914930602253,457.964680993823
2035-08-01,445.8006722116627,435.6107241466305,455.99062027669487
2035-09-01,444.3614505792893,434.1184307806982,454.6044703778804
2035-10-01,444.66525242336337,434.3694364720127,454.96106837471405
2035-11-01,446.25662923062305,435.9082873955808,456.60497106566527
2035-12-01,447.67689012676436,437.2670317735672,458.0867484799615
2036-01-01,448.8488764666233,438.38041987476305,459.3173330584836
2036-02-01,449.5252317167797,438.99964163816384,460.0508217953955
2036-03-01,450.44512042853734,439.86321666399556,461.0270241930791
2036-04-01,451.8940880233874,441.2563992453767,462.53177680139805
2036-05-01,452.5473497981504,441.8542711850756,463.24042841122514
2036-06-01,451.8154339028436,441.0672979919923,462.5635698136949
2036-07-01,450.0830552942074,439.28016398503337,460.8859466033814
2036-08-01,448.0567239267027,437.1993629934722,458.9140848599332
2036-09-01,446.6182714125094,435.7067171208324,457.52982570418635
2036-10-01,446.9219109052707,435.9564330585727,457.8873887519687
2036-11-01,448.5124372828215,437.4933006527597,459.53157391288335
2036-12-01,449.9319391933757,438.8503555190595,461.01352286769185
2037-01-01,451.10329922524943,439.96211580658274,462.2444826439161
2037-02-01,451.77929303203433,440.5799400087456,462.97864605532305
2037-03-01,452.69869015645344,441.44196822806197,463.9554120848449
2037-04-01,454.1468834248937,442.8333090767165,465.4604577730709
2037-05-01,454.7997960974086,443.4297555328384,466.1698366619788
2037-06-01,454.0682713370103,442.64208969818895,465.4944529758316
2037-07-01,452.3368185092633,440.85479114997753,463.8188458685491
2037-08-01,450.31157001062235,438.77397667745737,461.8491633437873
2037-09-01,448.8738862035933,437.2809974987786,460.466774908408
2037-10-01,449.1773634318022,437.52944378565127,460.8252830779531
2037-11-01,450.76703983411267,439.06434889727745,462.4697307709479
2037-12-01,452.18578316468063,440.41972180205534,463.9518445273059
2038-01-01,453.3565172232674,441.52986676307336,465.1831676834615
2038-02-01,454.0321497798357,442.1463081586171,465.91799140105434
2038-03-01,454.9510555796199,443.0068057279311,466.89530543130866
2038-04-01,456.39847493544937,444.3963220081301,468.40062786276866
2038-05-01,457.051038692276,444.9913605508106,469.1107168337414
2038-06-01,456.3199048577641,444.2030197682556,468.43678994727253
2038-07-01,454.58937731617027,442.4155745406347,466.76318009170586
2038-08-01,452.5652111077092,440.3347647760384,464.79565743938
2038-09-01,451.1282955970484,438.84147102678367,463.41512016731315
2038-10-01,451.4316106474188,439.0886672475675,463.77455404727004
2038-11-01,453.02043752871464,440.6216301569058,465.4192449005235
2038-12-01,454.4384226846805,441.9753295470811,466.9015158222799
2039-01-01,455.6085311044996,443.0838719757791,468.1331902332201
2039-02-01,456.2838026039029,443.6989453428637,468.8686598649422
2039-03-01,457.20221734161544,444.55792828323627,469.8465063999946
2039-04-01,458.648863198412,445.9456369195811,471.35208947724294
2039-05-01,459.3010782260105,446.53928480131606,472.0628716507049
2039-06-01,458.5703351084747,445.7502863826481,471.3903838343013
2039-07-01,456.8407323585623,443.9627118994451,469.71875281767956
2039-08-01,454.8176478619067,441.8819245429765,467.75337118083695
2039-09-01,453.3815002370375,440.38833442347624,466.3746660505988
2039-10-01,453.68465319623704,440.63429958486455,466.7350068076095
2039-11-01,455.27263101050113,442.16533995448856,468.3799220665137
2039-12-01,456.6898583970325,443.51737489660553,469.86234189745943
2040-01-01,457.85934151242446,444.62432771302196,471.094355311827
2040-02-01,458.53425214761137,445.23804771866565,471.8304565765571
2040-03-01,459.45217608567515,446.0955318075605,472.8088203637898
2040-04-01,460.8980488567957,447.48144939460394,474.31464831898745
2040-05-01,461.54991534152646,448.0737234734225,475.0261072096304
2040-06-01,460.81956273216815,447.2840842830347,474.3550411813016
2040-07-01,459.0908842797297,445.49639747443865,472.6853710850208
2040-08-01,457.0688809168142,443.4156496909292,470.7221121426992
2040-09-01,455.6335007673794,441.9217808278441,469.34522070691474
2040-10-01,455.93649172202936,442.1665333274032,469.7064501166555
2040-11-01,457.52362092300206,443.69567017805474,471.3515716679494
2040-12-01,458.9400909450499,445.04605015246136,472.8341317376385
2041-01-01,460.1089490901767,446.1514262730288,474.06647190732457
2041-02-01,460.7834990539925,446.76380738053285,474.80319072745215
2041-03-01,461.7009324546902,447.61980808019933,475.78205682918104
2041-04-01,463.14603255327074,449.003950824784,477.2881142817575
2041-05-01,463.7975506813946,449.59486751719055,478.0002338455987
2041-06-01,463.06758837152677,448.80460393383294,477.3305728092206
2041-07-01,461.33983372261895,447.0168212058738,475.6628462393641
2041-08-01,459.318910915687,444.93612960121817,473.70169223015586
2041-09-01,457.8842978315488,443.44199903032614,472.32659663277144
2041-10-01,458.1871268682242,443.6855566451193,472.6886970913291
2041-11-01,459.7734079094034,445.2128083497108,474.3340074690959
2041-12-01,461.18912097170227,446.5615430967951,475.8166988466094
2042-01-01,462.35735448054703,447.6653553420779,477.0493536190162
2042-02-01,463.03154396573404,448.2764117483983,477.7866761830698
2042-03-01,463.9484870912083,449.130944160007,478.76603002240955
2042-04-01,465.392814930164,450.51332784651,480.272302013818
2042-05-01,466.0439848878423,451.1029031011355,480.98506667454916
2042-06-01,465.31441266888936,450.3120309985381,480.31679433924063
2042-07-01,463.5875813298327,448.52416821981075,478.6509944398546
2042-08-01,461.5677385014366,446.4435488331834,476.69192816968985
2042-09-01,460.13389207267625,444.9491729966098,475.3186111487427
2042-10-01,460.43655927790587,445.1915528850342,475.68156567077756
2042-11-01,462.02199261254697,446.7169371747311,477.32704805036286
2042-12-01,463.4369491196153,448.06403657957424,478.80986165965635
2043-01-01,464.60455832598296,449.16629760899605,480.0428190429699
2043-02-01,465.2783875251805,449.7760432035496,480.7807318468114
2043-03-01,466.1948406374337,450.6291220395647,481.76055923530265
2043-04-01,467.6383966294591,452.0097620112184,483.26703124769983
